,Refugio,Estado,Municipio,Dirección,Uso del Inmueble,Capacidad personas,Capacidad Familias,Latitud,Longitud,Altitud,gla,mla,sla,glo,mlo,glo,latitude,longitude
1,COBAES No. 54,SINALOA,AHOME,"C. DEGOLLADO Y M. ORDOÑEZ, CD. DE LOS MOCHIS.",EDUCATIVO,500,125,"25°46'56.18""","108°59'36.83""",13,25,46,56.18,108,59,36.83,25.78227222,-108.9935639
2,COBAES No. 02,SINALOA,AHOME,"C. GUILLERMO PRIETO Y CUAUHTÉMOC, CD. DE LOS MOCHIS.",EDUCATIVO,500,125,"25°47'5.72""","108°59'38.92""",14,25,47,5.72,108,59,38.92,25.78492222,-108.9941444
3,"ESCUELA SECUNDARIA ""IMA"".",SINALOA,AHOME,"C. BIENESTAR Y NIÑOS HEROES, CD. DE LOS MOCHIS.",EDUCATIVO,150,37,"25°46'46.43""","108°59'31.49""",13,25,46,46.43,108,59,31.49,25.77956389,-108.9920806
4,ESCUELA SECUNDARIA RÍO ZUAQUE.,SINALOA,AHOME,"DOM. CONOCIDO, SAN MIGUEL ZAPOTITLÁN.",EDUCATIVO,400,100,"25°56'39.89""","109° 1'50.49""",77,25,56,39.89,109, 1,50.49,25.94441389,-109.0306917
5,ESCUELA PRIMARIA ANTONIO ROSALES.,SINALOA,AHOME,"DOM. CONOCIDO, HIGUERA DE ZARAGOZA.",EDUCATIVO,200,50,"25°58'4.58""","109°18'2.67""",12,25,58,4.58,109,18,2.67,25.96793889,-109.3007417
6,COBAES.,SINALOA,AHOME,DOM. CONOCIDO VILLA GUSTAVO DÍAZ ORDAZ (EL CARRIZO).,EDUCATIVO,400,100,"26°16'22.43""","109° 1'56.56""",11,26,16,22.43,109, 1,56.56,26.27289722,-109.0323778
7,COBAES 03.,SINALOA,AHOME,"DOM. CONOCIDO, VILLA DE AHOME, SIND. DE AHOME.",EDUCATIVO,400,100,"25°55'19.03""","109°10'35.38""",12,25,55,19.03,109,10,35.38,25.92195278,-109.1764944
8,"Escuela Secundaria ""Adolfo López Mateos"".",SINALOA,ANGOSTURA,"Carretera a Guamuchil S/N, Cd. de angostura.",Educativo,"3,000",750,"25°22'2.28""","108° 9'39.67""",28,25,22,2.28,108, 9,39.67,25.3673,-108.1610194
9,Club Chinitos A.C.,SINALOA,ANGOSTURA,"Av. Benito Juárez, Poblado de Chinitos (Col. Agrícola Independencia).",Club Social,500,125,"25° 3'23.55""","107°54'54.24""",24,25, 3,23.55,107,54,54.24,25.05654167,-107.9150667
10,Esc. Secundaria Joaquín Vizcarra Tiznado.,SINALOA,ANGOSTURA,"C. Alfredo Buenfil y Profr. Emilio Chaparro, frente a Unidad Deportiva, Poblado de Alhuey.",Educativo,800,200,"25°22'54.61""","108° 7'38.53""",35,25,22,54.61,108, 7,38.53,25.38183611,-108.1273694
