Habilitado?,refugio,direccion,estado,clave_edo,municipio,clave_mun,clave_inegi,direccion,uso del inmuble,personas,familias,latitud,longitud,altitud,hora_lat,min_lat,seg_lat,hora_lon,min_lon,seg_lon,latitud,longitud,localidad,servicios,telefono
SI,E.P. FERNANDO F. DWRAF,"Sánchez Taboada 1004, El Rastro, 85460 Heroica Guaymas, Son., Mexico",Sonora,26,Guaymas,29,26029,"SANCHEZ TABOADA Y CALLE TRES, COL. EL RASTRO",ESCUELA,200,50,27°54.535',110°53.885',9,27,54.535,0,110,53.885,0,27.90891667,-110.8980833,11,,
SI,ALBERGUE COLONIA POPULAR,"Blvd. Perif. 91A, Las Colinas, 85440 Heroica Guaymas, Son., Mexico",Sonora,26,Guaymas,29,26029,"BLVD. LAS PLAZAS S/N, COL. POPULAR",ALBERGUE,200,50,"27°54'40.50""N","110°55'19.20""O",55,27,54,40.5,110,55,19.2,27.91125,-110.922,,,
,DIF MUNICIPAL,"Magdalena 8, Los Ríos, 85440 Heroica Guaymas, Son., Mexico",Sonora,26,Guaymas,29,26029,"RIO MAGDALENA S/N, COL. LOS RIOS",SALON,200,50,"27°55'12.46""N","110°54'58.03""O",29,27,55,12.46,110,54,58.03,27.92012778,-110.9161194,,,
,ALBERGUE 23 MARZO GUAYMAS,"Ceiba 7, 5 de Mayo, Nacionalización del Golfo de California, 85477 Heroica Guaymas, Son., Mexico",Sonora,26,Guaymas,29,26029,"CEIBA Y PERIFERICO, COL. 23 DE MARZO",ALBERGUE,200,50,"27°54'2.46""N","110°55'22.28""O",28,27,54,2.46,110,55,22.28,27.90068333,-110.9228556,,,
SI,CDC FATIMA GUAYMAS,"Arroyo, Adolfo de la Huerta, Heroica Guaymas, Son., Mexico",Sonora,26,Guaymas,29,26029,"CALLE XVII FINAL, COL. FATIMA",ALBERGUE,200,50,"27°56'25.94""N","110°52'45.28""O",69,27,56,25.94,110,52,45.28,27.94053889,-110.8792444,,,
,ITSON,"Biblioteca, Sonora, Mexico",Sonora,26,Guaymas,29,26029,"CALLE FCO. MAYTORENA S/N, FTE AEROPUERTO",ESCUELA,200,50,"27°58'5.00""N","110°55'10.30""O",13,27,58,5,110,55,10.3,27.96805556,-110.9195278,,,
,BOMBEROS NORTE GUAYMAS,"García López SN-C MINISUPER FEMOSA, Albatros, 85420 Heroica Guaymas, Son., Mexico",Sonora,26,Guaymas,29,26029,"CAMINO AL TULAR Y CARR. INT., SALIDA NORTE",BOMBEROS,200,50,"27°56'28.01""N","110°55'57.68""O",13,27,56,28.01,110,55,57.68,27.94111389,-110.9326889,,,
,PRIMARIA CUAHUTEMOC,"Sánchez Taboada 1004, El Rastro, 85460 Heroica Guaymas, Son., Mexico",Sonora,26,Guaymas,29,26029,RANCHITOS DE SAN CARLOS,ESCUELA,200,50,27°54.535',110°53.885',50,27,54.535,0,110,53.885,0,27.90891667,-110.8980833,,,
SI,E.P. NIÑOS HEROES DE CHAPULTEPEC,,Sonora,26,Guaymas,29,26029,CAMPO PESQUERO LA MANGA,ESCUELA,200,50,27°58.787',110°07.310',15,27,58.787,0,110,7.31,0,27.97978333,-110.1218333,,,
,E.P. JAIME TORRES BODET,,Sonora,26,Guaymas,29,26029,POTAM,ESCUELA,200,50,27°37.484',110°24.951',7,27,37.484,0,110,24.951,0,27.62473333,-110.41585,,,
